       Q,      F(Q)_RMC,  F(Q)_Expt
      0.5049998 ,      -2.9655273 ,      -2.0361250
      0.5149998 ,      -3.0820259 ,      -2.3356233
      0.5249998 ,      -3.1370786 ,      -2.5654839
      0.5349998 ,      -3.1282827 ,      -2.7203021
      0.5449998 ,      -3.0575716 ,      -2.7994878
      0.5549998 ,      -2.9309933 ,      -2.8071005
      0.5649998 ,      -2.7582250 ,      -2.7513961
      0.5749997 ,      -2.5518636 ,      -2.6441236
      0.5849997 ,      -2.3265280 ,      -2.4996162
      0.5949997 ,      -2.0978657 ,      -2.3337587
      0.6049997 ,      -1.8814894 ,      -2.1628780
      0.6149997 ,      -1.6919427 ,      -2.0026461
      0.6249997 ,      -1.5417502 ,      -1.8670599
      0.6349997 ,      -1.4406125 ,      -1.7675630
      0.6449997 ,      -1.3947991 ,      -1.7123627
      0.6549997 ,      -1.4067720 ,      -1.7059816
      0.6649997 ,      -1.4750655 ,      -1.7490687
      0.6749997 ,      -1.5944234 ,      -1.8384741
      0.6849996 ,      -1.7561826 ,      -1.9675771
      0.6949996 ,      -1.9488843 ,      -2.1268483
      0.7049996 ,      -2.1590477 ,      -2.3045827
      0.7149996 ,      -2.3720841 ,      -2.4877792
      0.7249996 ,      -2.5732713 ,      -2.6630856
      0.7349996 ,      -2.7487307 ,      -2.8177526
      0.7449996 ,      -2.8863443 ,      -2.9405321
      0.7549996 ,      -2.9765516 ,      -3.0224603
      0.7649996 ,      -3.0129770 ,      -3.0574749
      0.7749996 ,      -2.9928471 ,      -3.0428274
      0.7849995 ,      -2.9171729 ,      -2.9792664
      0.7949995 ,      -2.7906821 ,      -2.8709758
      0.8049995 ,      -2.6215173 ,      -2.7252867
      0.8149995 ,      -2.4207064 ,      -2.5521702
      0.8249995 ,      -2.2014497 ,      -2.3635545
      0.8349995 ,      -1.9782651 ,      -2.1725105
      0.8449995 ,      -1.7660471 ,      -1.9923601
      0.8549995 ,      -1.5790998 ,      -1.8357670
      0.8649995 ,      -1.4302036 ,      -1.7138695
      0.8749995 ,      -1.3297766 ,      -1.6355128
      0.8849995 ,      -1.2851816 ,      -1.6066296
      0.8949994 ,      -1.3002220 ,      -1.6298103
      0.9049994 ,      -1.3748604 ,      -1.7040914
