       Q,      F(Q)_RMC,  F(Q)_Expt
      0.5049998 ,      -3.4015318 ,      -2.6342416
      0.5149998 ,      -3.5548961 ,      -2.9731330
      0.5249998 ,      -3.6176671 ,      -3.2286224
      0.5349998 ,      -3.5875179 ,      -3.3964664
      0.5449998 ,      -3.4684464 ,      -3.4780219
      0.5549998 ,      -3.2703815 ,      -3.4799082
      0.5649998 ,      -3.0084073 ,      -3.4133430
      0.5749997 ,      -2.7016675 ,      -3.2932060
      0.5849997 ,      -2.3720060 ,      -3.1368899
      0.5949997 ,      -2.0424844 ,      -2.9630393
      0.6049997 ,      -1.7358117 ,      -2.7902378
      0.6149997 ,      -1.4728364 ,      -2.6357496
      0.6249997 ,      -1.2711783 ,      -2.5143881
      0.6349997 ,      -1.1440923 ,      -2.4375859
      0.6449997 ,      -1.0996325 ,      -2.4127213
      0.6549997 ,      -1.1401694 ,      -2.4427412
      0.6649997 ,      -1.2622865 ,      -2.5260969
      0.6749997 ,      -1.4570595 ,      -2.6569914
      0.6849996 ,      -1.7106922 ,      -2.8259127
      0.6949996 ,      -2.0054825 ,      -3.0204216
      0.7049996 ,      -2.3210121 ,      -3.2261101
      0.7149996 ,      -2.6355316 ,      -3.4276968
      0.7249996 ,      -2.9274135 ,      -3.6101564
      0.7349996 ,      -3.1765930 ,      -3.7598181
      0.7449996 ,      -3.3658986 ,      -3.8653539
      0.7549996 ,      -3.4821906 ,      -3.9185938
      0.7649996 ,      -3.5172308 ,      -3.9151121
      0.7749996 ,      -3.4682318 ,      -3.8545483
      0.7849995 ,      -3.3380505 ,      -3.7406440
      0.7949995 ,      -3.1350066 ,      -3.5809866
      0.8049995 ,      -2.8723599 ,      -3.3864991
      0.8149995 ,      -2.5674534 ,      -3.1706870
      0.8249995 ,      -2.2405961 ,      -2.9487107
      0.8349995 ,      -1.9137507 ,      -2.7363410
      0.8449995 ,      -1.6091096 ,      -2.5488679
      0.8549995 ,      -1.3476502 ,      -2.4000363
      0.8649995 ,      -1.1477619 ,      -2.3010796
      0.8749995 ,      -1.0240284 ,      -2.2599151
      0.8849995 ,      -0.9862450 ,      -2.2805555
      0.8949994 ,      -1.0387292 ,      -2.3627726
      0.9049994 ,      -1.1799744 ,      -2.5020437
      0.9149994 ,      -1.4026568 ,      -2.6897701
      0.9249994 ,      -1.6940065 ,      -2.9137697
      0.9349994 ,      -2.0365145 ,      -3.1590024
      0.9449994 ,      -2.4089331 ,      -3.4084858
      0.9549994 ,      -2.7875089 ,      -3.6443410
      0.9649994 ,      -3.1473726 ,      -3.8489029
      0.9749994 ,      -3.4640025 ,      -4.0058245
      0.9849994 ,      -3.7146713 ,      -4.1011037
      0.9949993 ,      -3.8797903 ,      -4.1239705
      1.0049990 ,      -3.9440779 ,      -4.0675794
      1.0149990 ,      -3.8974654 ,      -3.9294498
      1.0249990 ,      -3.7357017 ,      -3.7116602
      1.0349990 ,      -3.4606332 ,      -3.4207510
      1.0449990 ,      -3.0801201 ,      -3.0673605
      1.0549990 ,      -2.6076144 ,      -2.6656154
      1.0649990 ,      -2.0614215 ,      -2.2323150
      1.0749990 ,      -1.4636956 ,      -1.7859599
      1.0849990 ,      -0.8392276 ,      -1.3456883
      1.0949990 ,      -0.2141017 ,      -0.9301848
      1.1049990 ,       0.3857005 ,      -0.5566301
      1.1149990 ,       0.9356661 ,      -0.2397545
      1.1249990 ,       1.4140093 ,       0.0089460
      1.1349990 ,       1.8027489 ,       0.1817876
      1.1449990 ,       2.0885502 ,       0.2752366
      1.1549990 ,       2.2632845 ,       0.2899916
      1.1649990 ,       2.3242834 ,       0.2308090
      1.1749990 ,       2.2742803 ,       0.1060883
      1.1849990 ,       2.1210520 ,      -0.0727519
      1.1949990 ,       1.8767914 ,      -0.2920644
      1.2049990 ,       1.5572557 ,      -0.5368767
      1.2149990 ,       1.1807492 ,      -0.7918467
      1.2249990 ,       0.7670065 ,      -1.0422108
      1.2349990 ,       0.3360468 ,      -1.2746624
      1.2449990 ,      -0.0929311 ,      -1.4781087
      1.2549990 ,      -0.5025491 ,      -1.6442575
      1.2649990 ,      -0.8780865 ,      -1.7680040
      1.2749990 ,      -1.2081129 ,      -1.8475947
      1.2849990 ,      -1.4848837 ,      -1.8845661
      1.2949990 ,      -1.7044883 ,      -1.8834667
      1.3049990 ,      -1.8667508 ,      -1.8513880
      1.3149990 ,      -1.9749045 ,      -1.7973399
      1.3249990 ,      -2.0350702 ,      -1.7315166
      1.3349990 ,      -2.0555842 ,      -1.6645064
      1.3449990 ,      -2.0462272 ,      -1.6064997
      1.3549990 ,      -2.0174117 ,      -1.5665497
      1.3649990 ,      -1.9793838 ,      -1.5519354
      1.3749990 ,      -1.9414952 ,      -1.5676688
      1.3849990 ,      -1.9115909 ,      -1.6161775
